ghnrs_j,z_ar025rpc
45.0,39000.0
56.0,245000.0
56.0,202000.0
69.0,1480000.0
62.0,2520000.0
63.0,850000.0
63.0,2050000.0
68.0,2000000.0
53.0,3480000.0
64.0,525000.0
38.0,300000.0
61.0,406000.0
60.0,500000.0
63.0,200000.0
64.0,1250000.0
58.0,250000.0
43.0,45000.0
46.0,880000.0
50.0,230000.0
38.0,190000.0
79.0,1060000.0
64.0,550000.0
49.0,150000.0
72.0,269500.0
65.0,265000.0
43.0,402000.0
50.0,70000.0
54.0,114000.0
71.0,5750000.0
46.0,210000.0
56.0,250000.0
60.0,222000.0
56.0,108998.0
57.0,104000.0
38.0,88000.0
45.0,600000.0
53.0,1163500.0
40.0,83500.0
60.0,285000.0
51.0,128000.0
60.0,875000.0
57.0,1110000.0
51.0,299998.0
77.0,65000.0
49.0,508000.0
55.0,3700000.0
62.0,1194000.0
45.0,416000.0
35.0,1240000.0
58.0,425000.0
65.0,2455000.0
49.0,350000.0
61.0,69000.0
56.0,499000.0
33.0,815000.0
46.0,534000.0
74.0,985000.0
70.0,437000.0
55.0,360000.0
70.0,250000.0
45.0,891000.0
53.0,100000.0
59.0,1255000.0
60.0,20000.0
63.0,264998.0
65.0,841000.0
56.0,590000.0
53.0,473500.0
59.0,880000.0
65.0,4240000.0
73.0,280000.0
66.0,560000.0
60.0,160000.0
74.0,730000.0
62.0,672000.0
56.0,146000.0
42.0,700000.0
53.0,99998.0
53.0,152000.0
62.0,404500.0
47.0,705000.0
55.0,725000.0
45.0,70000.0
72.0,220000.0
63.0,372000.0
72.0,120000.0
55.0,99998.0
57.0,518000.0
41.0,129500.0
60.0,647000.0
37.0,285000.0
49.0,650000.0
64.0,800000.0
59.0,95000.0
41.0,149000.0
28.0,106000.0
41.0,950000.0
63.0,124998.0
70.0,1487000.0
43.0,387500.0
74.0,1180000.0
58.0,500000.0
42.0,620000.0
45.0,172200.0
68.0,595000.0
64.0,171000.0
34.0,380000.0
52.0,280000.0
69.0,1153000.0
61.0,285000.0
70.0,402500.0
58.0,320000.0
42.0,145500.0
19.0,750000.0
61.0,163600.0
67.0,340000.0
54.0,262000.0
64.0,410000.0
52.0,999998.0
52.0,770000.0
45.0,134998.0
58.0,253000.0
74.0,880000.0
53.0,132000.0
66.0,3000000.0
70.0,592000.0
63.0,545000.0
56.0,420000.0
45.0,180000.0
42.0,660000.0
55.0,308000.0
54.0,105000.0
56.0,1503000.0
46.0,403000.0
57.0,654000.0
