DATE,ISBN,Title,Weekly Sales,Weekly Average Rank
4/21/01,'1565924002,Windows 98 Annoyances (with CDROM),22,4269
4/21/01,'1565928385,Sendmail,31,4271
4/21/01,'1565928504,Learning the vi Editor (6th Edition),21,4274
4/21/01,'156592729X,Tcp/Ip Network Administration,32,4298
4/21/01,'1565924460,Bipolar Disorders: A Guide to Helping Children & Adolescents,20,4357
4/21/01,'1565920376,Ethernet : The Definitive Guide,31,4381
4/21/01,'1565922964,Using Samba (O'Reilly System Administration),22,4387
4/21/01,'0596000472,PalmPilot: The Ultimate Guide (2nd Edition),28,4405
4/21/01,'1565922514,CGI Programming with Perl (2nd Edition),22,4413
4/21/01,'1565925238,Programming the Perl DBI,23,4429
4/21/01,'1565925149,Html Pocket Reference (Nutshell Handbook),26,4449
4/21/01,'1565921046,CGI Programming with Perl (2nd Edition),20,4483
4/21/01,'1565925173,Programming Embedded Systems in C and C ++,27,4486
4/21/01,'0937175730,"Database Programming with JDBC and Java, 2nd Edition",38,4491
4/21/01,'156592701X,Learning Python (Help for Programmers),26,4510
4/21/01,'1565922697,Programming Embedded Systems in C and C ++,30,4531
4/21/01,'1565926730,Windows 2000 Administration in a Nutshell : A Desktop Quick Reference,29,4538
4/21/01,'1565925823,Essential System Administration (Nutshell Handbook),20,4545
4/21/01,'1565927141,Vbscript in a Nutshell : A Desktop Quick Reference,32,4554
4/21/01,'1565924606,Tcp/Ip Network Administration,22,4556
4/21/01,'1565925254,Linux Device Drivers (Nutshell Handbook),23,4594
4/21/01,'1565924843,UNIX Power Tools,20,4625
4/21/01,'1565925009,Javascript Pocket Reference,16,4633
4/21/01,'1565924967,Windows 2000 Active Directory,24,4661
4/21/01,'1565924487,Windows 2000 Active Directory,31,4725
4/21/01,'1565922891,Javascript Pocket Reference,39,4746
4/21/01,'1565922786,XML Pocket Reference,16,4756
4/21/01,'1565926757,Java Network Programming,25,4758
4/21/01,'1565924010,Sendmail,16,4759
4/21/01,'1565924789,Cvs Pocket Reference,18,4771
4/21/01,'1565928598,Java Internationalization,31,4860
4/21/01,'1565924983,Programming the Perl DBI,31,4865
4/21/01,'1565920740,Sendmail,21,4870
4/21/01,'1565926412,Learning the Bash Shell (Nutshell Handbooks),22,4919
4/21/01,'1565927257,Learning Python (Help for Programmers),43,4951
4/21/01,'156592438X,Oracle PL/SQL Best Practices,38,4994
4/21/01,'1565924568,Ethernet : The Definitive Guide,25,4997
4/21/01,'0937175773,Managing Projects With make (2nd Edition),24,5003
4/21/01,'1565926218,Ethernet : The Definitive Guide,21,5055
4/21/01,'1565923200,Linux Device Drivers (Nutshell Handbook),23,5057
4/21/01,'1565927214,LINUX in A Nutshell: A Desktop Quick Reference (3rd Edition),17,5144
4/21/01,'1565922069,"Database Programming with JDBC and Java, 2nd Edition",17,5147
4/21/01,'1565920414,Java Enterprise in a Nutshell : A Desktop Quick Reference (Nutshell Handbook),17,5185
4/21/01,'156592634X,LINUX in A Nutshell: A Desktop Quick Reference (3rd Edition),23,5228
4/21/01,'1565926498,Linux Device Drivers (Nutshell Handbook),23,5259
4/21/01,'1565923790,Managing Projects With make (2nd Edition),27,5281
4/21/01,'1565925459,XML Pocket Reference,21,5282
4/21/01,'1565924932,Java Servlet Programming,10,5368
4/21/01,'1565925297,Visual Basic Controls in a Nutshell : The Controls of the Professional and Enterprise Editions (Nutshell Series),20,5378
4/21/01,'1565922387,Windows 2000 Commands Pocket Reference,36,5385
4/21/01,'1565926374,Apache : Pocket Reference,22,5429
4/21/01,'0596000383,Oracle & Open Source,86,5495
4/21/01,'0596500033,Programming Python,2,5521
4/21/01,'1565925815,MCSE in a Nutshell: The Windows 2000 Exams,12,5534
4/21/01,'1565927559,Managing Projects With make (2nd Edition),20,5539
4/21/01,'1565923782,MCSE : The Electives in a Nutshell,2,5635
4/21/01,'1199000590,MCSE in a Nutshell: The Windows 2000 Exams,17,5652
4/21/01,'1565926773,Apache : The Definitive Guide,27,5658
4/21/01,'1199000647,Programming Python,1,5661
4/21/01,'1565921631,MCSE : The Electives in a Nutshell,1,5678
4/21/01,'1565924118,Learning the Bash Shell (Nutshell Handbooks),18,5684
4/21/01,'059600107X,Oracle SQL Loader: The Definitive Guide,75,5731
4/21/01,'1565924827,Java Enterprise in a Nutshell : A Desktop Quick Reference (Nutshell Handbook),18,5851
4/21/01,'1565922689,Beyond Contact: A Guide to SETI and Communicating with Alien Civilizations,22,5864
4/21/01,'0596001312,Learning the Bash Shell (Nutshell Handbooks),20,5949
4/21/01,'1565927117,Exploring Expect : A Tcl-Based Toolkit for Automating Interactive Programs (Nutshell Handbook),29,6050
4/21/01,'1565923758,UNIX Backup and Recovery,19,6086
4/21/01,'156592410X,Java Servlet Programming,12,6107
4/21/01,'1565923006,Exploring Expect : A Tcl-Based Toolkit for Automating Interactive Programs (Nutshell Handbook),22,6122
4/21/01,'1565924339,Learning the Korn Shell (A Nutshell Handbook),20,6127
4/21/01,'1565927311,Apache : Pocket Reference,14,6144
4/21/01,'1565927192,Learning the Korn Shell (A Nutshell Handbook),21,6147
4/21/01,'1565925203,Visual Basic Controls in a Nutshell : The Controls of the Professional and Enterprise Editions (Nutshell Series),20,6193
4/21/01,'1565923014,Java Network Programming,1,6212
4/21/01,'1565920023,Vbscript Pocket Reference,19,6231
4/21/01,'1565925734,Learning the Korn Shell (A Nutshell Handbook),22,6308
4/21/01,'1565926137,Visual Basic Controls in a Nutshell : The Controls of the Professional and Enterprise Editions (Nutshell Series),17,6308
4/21/01,'1565921267,Apache : Pocket Reference,21,6362
4/21/01,'1565926544,Java Enterprise in a Nutshell : A Desktop Quick Reference (Nutshell Handbook),12,6446
4/21/01,'1565926617,LINUX in A Nutshell: A Desktop Quick Reference (3rd Edition),16,6476
4/21/01,'1565920074,Perl for System Administration,16,6504
4/21/01,'1565925319,Apache : The Definitive Guide,16,6522
4/21/01,'1565920066,Practical Unix and Internet Security,17,6574
4/21/01,'1565924592,Oracle PL/SQL Best Practices,35,6723
4/21/01,'1565920155,Appleworks 6 : The Missing Manual,16,6737
4/21/01,'1565922530,Apache : The Definitive Guide,10,6774
4/21/01,'1565922735,Practical Unix and Internet Security,19,6830
4/21/01,'1565922271,The Cathedral and the Bazaar : Musings on Linux and Open Source by an Accidental Revolutionary,27,6832
4/21/01,'1565923235,Exploring Expect : A Tcl-Based Toolkit for Automating Interactive Programs (Nutshell Handbook),18,6841
4/21/01,'1565922913,Perl for System Administration,19,6891
4/21/01,'1565923707,Outlook 2000 in a Nutshell: a Power User's Quick Reference,21,6894
4/21/01,'1565926013,Practical Unix and Internet Security,15,6895
4/21/01,'1565925378,The Cathedral and the Bazaar : Musings on Linux and Open Source by an Accidental Revolutionary,13,6975
4/21/01,'1565926331,XML Pocket Reference,18,7043
4/21/01,'0937175838,Oracle & Open Source,14,7101
4/21/01,'156592312X,The Cathedral and the Bazaar : Musings on Linux and Open Source by an Accidental Revolutionary,21,7156
4/21/01,'1565925653,Xml Pocket Reference,71,7179
4/21/01,'1565926250,Perl for System Administration,11,7242
4/21/01,'1565926870,Appleworks 6 : The Missing Manual,17,7263
4/21/01,'1565922492,Oracle SQL Plus Pocket Reference,23,7341
4/21/01,'1565922263,Delphi in a Nutshell : A Desktop Quick Reference (In a Nutshell),18,7365
4/21/01,'1565924509,Webmaster in a Nutshell (2nd Edition),15,7372
4/21/01,'1565925882,"Perl 5 Pocket Reference, 3rd Edition: Programming Tools (O'Reilly Perl)",18,7412
4/21/01,'1565921178,Oracle SQL Plus Pocket Reference,21,7422
4/21/01,'156592200X,UNIX Backup and Recovery,19,7472
4/21/01,'1565924320,Writing Apache Modules with Perl and C: The Apache API and mod_perl (O'Reilly Nutshell),16,7505
4/21/01,'1565921542,Vbscript Pocket Reference,21,7518
4/21/01,'156592388X,The Unofficial Guide to LEGO MINDSTORMS Robots,18,7543
4/21/01,'1565922190,Appleworks 6 : The Missing Manual,15,7565
4/21/01,'1565920139,Java Servlet Programming,12,7622
4/21/01,'1565921984,Webmaster in a Nutshell (2nd Edition),10,7649
4/21/01,'1565920058,HTTP Pocket Reference,16,7669
4/21/01,'0937175021,Delphi in a Nutshell : A Desktop Quick Reference (In a Nutshell),16,7747
4/21/01,'0937175226,Oracle SQL Plus Pocket Reference,29,7781
4/21/01,'1565925335,Outlook 2000 in a Nutshell: a Power User's Quick Reference,12,7820
,,Webmaster in a Nutshell (2nd Edition),8,7841
,,Delphi in a Nutshell : A Desktop Quick Reference (In a Nutshell),12,7868
,,Vbscript Pocket Reference,30,7893
4/28/01,'0596000405,Oracle Sql Plus : The Definitive Guide,15,8022
4/28/01,'1565923928,Learning Gnu Emacs,11,8031
